"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"479","Krtap9-3",381.36623207881,7.19252164371493,3.37128167181795,2.13346802310837,0.0328863521030488,0.209391724776109
"480","Gm11937",86.8577888749538,8.72366115949073,3.96866945210721,2.19813246347811,0.0279396677122283,0.194045498659444
"481","Krtap2-4",373.67130878677,6.94582695091377,3.24358945208136,2.1414013868052,0.032241683207273,0.207478397786853
"482","Gm11562",274.926110864833,7.86270687511506,2.96829646778034,2.64889540531466,0.00807553203609013,0.0992710793767654
"483","Krtap4-7",483.403051356654,7.38195132682578,3.52488720798119,2.09423760003193,0.0362388198693522,0.220252980751317
"484","Gm11563",589.670878900631,7.77665918433107,3.2682800766268,2.3794347491655,0.0173392125190405,0.149154835544782
"485","Krtap4-6",198.431898293492,7.73032770616377,3.50008930616446,2.20860870394047,0.027201869420543,0.19085631938408
"486","Gm11595",327.07644189338,8.19278871891358,3.29287459854,2.48803544554843,0.0128450930089598,0.126330296571826
"487","Krtap4-8",117.818069185278,6.70424215142472,3.02447778226562,2.21666106814731,0.026646261081119,0.188888761728658
"488","Krtap4-9",176.290324358328,7.57791456091314,3.35955888887793,2.25562784030975,0.0240939481500797,0.179191014489512
"489","Gm11596",97.9918723825231,12.1066823304325,4.47192480290667,2.70726429088507,0.00678402261705753,0.0902334041653605
"490","Gm11554",159.816894184963,9.17143863392918,2.99542742162347,3.06181300462236,0.00220000843073616,0.0477449904854402
"491","Gm11569",24.3435761302248,7.43198570100169,3.51159153443488,2.11641520037942,0.0343095104077426,0.214377542021181
"492","Krtap4-13",186.523974402333,8.8872048610537,3.13208709593148,2.83747053924458,0.00454725430525691,0.0711951379973241
"493","Gm11564",72.1977999807937,7.59070393115637,3.40610485542837,2.22855850108634,0.0258432948226496,0.185997260797388
"494","Krtap4-16",243.011419276708,10.271263274635,3.80649641336491,2.69835096614614,0.00696839316473425,0.0913351117525253
"495","Gm11559",585.292866451643,7.23211044667423,3.24103390116092,2.23142079571699,0.0256532686168162,0.185696643287241
"496","Krtap9-1",158.509569545326,7.38500895634214,2.82063787787908,2.61820526989985,0.00883936141441121,0.104887326119231
"497","Gm11567",476.25968869891,8.15597247096266,3.64630992712418,2.23677433733539,0.0253010926167584,0.184298098998147
"498","Krtap16-1",162.012596110667,8.66477616971175,3.96204257222283,2.1869467608599,0.0287464107572175,0.196562944883913
"499","Krtap17-1",130.835888966999,6.76269849819251,2.63782229177643,2.56374302365843,0.010355017997885,0.11355446870036
"500","Krt34",1374.94119232837,7.19167045500795,3.3073252497571,2.17446725432769,0.0296700620306007,0.198913480811025
"501","Krt15",2014.61284922006,-3.49371204675983,1.7716794710508,-1.97197749584336,0.0486121755754319,0.25997824952111
"502","Krt19",21.7783312788995,-10.4682986430079,3.26086052931853,-3.21028714625696,0.0013260243557618,0.0344560570098036
"503","Krt42",13.1600917897667,6.79565447922774,1.91039908885992,3.55719101775913,0.000374841594204572,0.0154773634691975
"504","P3h4",910.703764502657,1.72345163537985,0.8422783280888,2.04617829748808,0.040738831767011,0.236690413863
"505","Cnp",62.329856394631,4.2566353596507,1.35173191129653,3.14902335594628,0.00163817102069579,0.0394449382540311
"506","Dhx58",103.210456313518,3.6103964234175,1.51303243972281,2.38619895293119,0.0170235387426827,0.14784198402001
"507","Rab5c",2787.30512247483,1.18435272367477,0.596366526278221,1.9859476873493,0.047039132867817,0.255193222264532
"508","Stat3",4131.30116382837,1.03847401155548,0.515684533521882,2.01377769556747,0.0440328784766577,0.246790446828452
"509","Atp6v0a1",1592.43830874864,2.40913265277716,0.609159558128364,3.95484667462034,7.6583749703418e-05,0.00541874972666766
"510","Mlx",691.284564287156,-1.2957543890187,0.37529148763165,-3.45266128255617,0.000555085532589112,0.0201098414943522
"511","Psmc3ip",50.2732557961883,-4.07646860500486,1.54262310146731,-2.64255643593528,0.00822827512383497,0.100492977626675
"512","Ccr10",6.47272803512667,-7.0454145771721,3.59093415548564,-1.96200049126751,0.0497624270579116,0.26186087227297
"513","Aoc3",50.6605664190951,-6.79243190940295,3.11225794276017,-2.18247717069972,0.0290743343386636,0.19745947972345
"514","Ptges3l",123.909640331049,-3.40853503174772,1.49163496789227,-2.28509997761993,0.0223069661268437,0.171787576135749
"515","Tmem106a",113.72169637679,2.23321008926094,1.00873840295079,2.21386444962172,0.0268381049142871,0.189665538775465
"516","Arl4d",903.07081636364,3.71184817716068,1.04834050090253,3.54068947442659,0.000399082970872088,0.0160817632460247
"517","Pyy",72.4770390150371,7.11457459081301,1.76796177099059,4.02416766445506,5.71771730838876e-05,0.00458360199759186
"518","BC030867",29.761056719712,-6.52033968533311,2.73861404071837,-2.38089032933708,0.017270852916361,0.148651641520546
"519","Grn",1599.18893018001,3.07856052701049,0.533537108121936,5.77009636283239,7.92262148686883e-09,9.95015236905002e-06
"520","Kif18b",65.9044182998387,-5.65413256182246,1.69196387990011,-3.34175724966201,0.0008324983306469,0.0258160130476943
"521","Dcakd",223.360321327567,1.19861314267904,0.558297851501267,2.14690624270891,0.0318007465317645,0.205631104768158
"522","Plcd3",645.285136149538,2.73849749392379,0.818534641755396,3.3456097692468,0.000821018543057422,0.0255832205962218
"523","Map3k14",341.240777276992,2.46452043469416,0.618477887034236,3.9848157652203,6.75325006682704e-05,0.00501370599788918
"524","Plekhm1",1283.7203955318,2.7732787552344,0.864009124220587,3.20977947742872,0.00132836840795403,0.0344575564135545
"525","Mapt",63.5091250395467,4.24403083436453,1.38332415032046,3.06799446346784,0.00215500610627802,0.0470697058372695
"526","Cdc27",729.853264861714,-1.48733161763295,0.441483610853602,-3.36893959609785,0.000754579634187341,0.0242997215103364
"527","Itgb3",31.5003455690497,7.80768634355375,2.12766242430596,3.66960766631042,0.000242923009401997,0.0115857363123339
"528","Cyb561",1463.07890194681,1.28930211270586,0.500652899705727,2.57524147660721,0.0100170125285034,0.111744186393098
"529","Ace",68.8303551720618,8.08819269268719,2.21976020082722,3.64372362819779,0.000268721962316873,0.0123472826038951
"530","Limd2",193.357755864487,2.05411440993942,0.766305978074253,2.68054076140899,0.00735033119510107,0.0940499025136592
"531","Pecam1",151.598163155712,4.34829314806973,1.43582194079145,3.0284348111249,0.00245824107359035,0.0504743204633246
"532","Milr1",27.7596308430822,3.17064788549023,1.42810503716628,2.2201783503135,0.0264066633194999,0.188256775254581
"533","Kpna2",1753.80609097101,-1.51229683374968,0.759231241637219,-1.99187908875896,0.0463843258669217,0.253300712330449
"534","Prkca",80.9914876960835,3.6434587839749,1.27567413019187,2.8561046255809,0.00428873782698927,0.069425958958706
"535","Arsg",33.1673636278317,2.9480352532233,1.21488484578241,2.42659644941469,0.0152411985317542,0.13837355606751
"536","Wipi1",221.877498479211,2.86821152298434,1.13208130291129,2.53357379510496,0.0112905964142599,0.118744297668745
"537","BC006965",51.8712303263017,-5.09062410814836,1.51529970895758,-3.35948332732826,0.000780883630350905,0.024776204616881
"538","Ttyh2",126.17504712021,3.00341824470107,1.13200507681904,2.65318443018006,0.00797362901096426,0.0987318172149393
"539","Cd300lb",42.9280259318263,3.78002444191514,1.74082839403852,2.17139406437754,0.0299013972117638,0.199474930384695
"540","Cd300lh",28.1585143984754,9.75266756503313,3.13555899184096,3.11034414929221,0.00186869480284841,0.0432612893605659
"541","Rab37",19.7390263276855,5.15568902953328,1.30616345602672,3.94720048684919,7.90703415654016e-05,0.00555192344954825
"542","Slc9a3r1",1654.1099467005,1.55894029184303,0.531927485561703,2.9307383697175,0.0033815744678956,0.0605989403158795
"543","Otop2",72.5618275234529,8.5450891334855,1.58726507781985,5.38352998052624,7.30390753910572e-08,4.76093159378281e-05
"544","Otop3",876.830696507289,4.25412698348911,1.07113396751127,3.97161056648532,7.1388353635236e-05,0.00514781759634757
"545","Grb2",1171.03167617596,1.32168326808758,0.45324121544896,2.91607034629095,0.00354470568688674,0.0624091815503155
"546","Sphk1",2264.204003287,1.88722373870764,0.688093115256133,2.74268655922411,0.00609388229084855,0.0842541453091355
"547","Ube2o",770.795362123618,1.90847962080399,0.766367276475649,2.49029372650234,0.0127637561937014,0.125979307352905
"548","Rhbdf2",1725.77621092575,1.58175911120973,0.538582528697619,2.93689272660715,0.00331518759332038,0.0599079043392463
"549","Cygb",100.166533828666,4.71029482841763,1.54759756057213,3.04361737729561,0.00233752232668491,0.0494786502604892
"550","Sept9",841.947487071814,2.28194483691064,0.501087922804817,4.55398091444223,5.26401339108503e-06,0.000886348290273468
"551","Tmc6",755.658634210332,1.48410907382785,0.607530587371942,2.44285490257835,0.0145715944529734,0.135477174584061
"552","Birc5",390.307356950515,-3.31502126568127,1.57560524643111,-2.10396688713121,0.0353813355679047,0.217716354220456
"553","Socs3",846.542038829248,2.66196151336794,0.711453294883498,3.74158294368971,0.000182864803567553,0.00980767065682063
"554","Pgs1",1381.79025661742,1.86885106184533,0.403532390412917,4.6312293789676,3.63500888634485e-06,0.000668088035684186
"555","Cyth1",1156.89121961001,1.77751818022791,0.695876974839316,2.55435694023121,0.0106384136527775,0.114932997964882
"556","Timp2",1074.22529608768,2.63320731510691,1.01509597693132,2.59404763189704,0.0094853344871828,0.108462424928932
"557","Lgals3bp",289.119331558975,3.45902972839837,1.63863464746372,2.11092187862149,0.0347790272015349,0.216169905407276
"558","C1qtnf1",35.6361715187017,7.29252306323705,3.09197386178451,2.3585332183333,0.0183473176313513,0.153051377072968
"559","Tbc1d16",103.462949828073,2.49053684840173,0.892331452312097,2.79104456303604,0.00525382382634672,0.0770237148704974
"560","Sgsh",102.0348050484,1.62361572177836,0.780536037022151,2.08012909688663,0.0375136934152253,0.224888175600978
"561","Nptx1",22.5906498856017,8.24578897526386,2.06317874562364,3.99664304062584,6.42470669415976e-05,0.0048656660596825
"562","Arhgdia",2531.70600345484,1.64620199565479,0.358650364802398,4.58999113680474,4.43264831348577e-06,0.00078593462038287
"563","Pcyt2",874.042461308788,1.61148412633625,0.724144248976491,2.22536342533125,0.0260568507691201,0.186823405300385
"564","Aspscr1",666.995286769105,1.31170926817837,0.502907991043988,2.60824900685191,0.00910067254491179,0.10599399994155
"565","Dcxr",87.3576811457515,-3.26307762054905,1.00443349136513,-3.24867464954217,0.0011594400828241,0.0317681244536435
"566","Rfng",608.435392039149,1.76874680330764,0.673769718287622,2.62515033742224,0.00866107163952443,0.103596040221645
"567","Ccdc57",21.9696118747779,2.92214158159551,1.31048227152456,2.22982152837216,0.0257592935813263,0.185997260797388
"568","Sectm1b",11.5125365874548,4.9601612896467,1.95257684640589,2.5403155316406,0.0110752500676243,0.117628677779539
"569","Rab10os",128.02712994387,1.91054709240396,0.80120671903734,2.38458695740782,0.017098306558747,0.14784198402001
"570","Dtnb",131.472425981459,3.96582288065902,0.841385868048922,4.71344127737172,2.43567939691636e-06,0.000476728885596448
"571","Wdr35",110.481370361052,-4.97536045022436,1.17141737664923,-4.24729951032147,2.16362632581795e-05,0.00239764796738253
"572","Smc6",522.967528776783,-1.01810141013383,0.450553278284633,-2.25966929817932,0.023841783141509,0.178168564608224
"573","Vsnl1",57.3330262976137,-4.21750035485025,1.94078906590815,-2.17308538518418,0.0297738914664736,0.199205031899435
"574","Fam49a",139.671274300683,3.19925581470057,1.10172336433108,2.90386490681626,0.00368587164378059,0.063558091010775
"575","Pqlc3",329.026658081462,-2.96802392258585,0.772126809135345,-3.84395916249761,0.000121065160568752,0.00732760254992637
"576","Hpcal1",136.030638437127,2.72903161298881,1.00637715549347,2.7117384353291,0.00669313847374229,0.0893391528681682
"577","Ywhaq",1650.08088163639,-1.23257518604841,0.517062807849663,-2.38380167232369,0.0171348340191875,0.147988013468868
