"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"525","5830416P10Rik",58.042345079932,3.10202126987308,1.34661625813029,2.30356736831625,0.0212469413868358,0.521765779178741
"526","Fam160b1",389.920450644786,-1.13595755988021,0.416155251189672,-2.72964850649564,0.00634018854583895,0.360641852340847
"527","Slc18a2",37.3561826181951,-3.16526849997297,1.55372573441229,-2.03721186427428,0.0416288154249718,0.658913226459955
"528","LOC100041034",22.107967618518,4.67580008097392,1.89854992987638,2.46282702782453,0.0137846399305168,0.455656250240552
"529","Suv39h2",92.1160948409927,-1.78277784275134,0.872527223141962,-2.04323463551266,0.0410292166378218,0.658913226459955
"530","Echdc3",24.7105640378758,3.4699356782407,1.74424496695876,1.98936258608836,0.0466611961646651,0.677004204814512
"531","Celf2",192.858924230785,2.80575478905062,1.28842540786581,2.17766179704432,0.0294312250911096,0.591782097872531
"532","Gata3",3625.1615743179,2.22461994390972,0.815183538493151,2.72898045515233,0.00635304691674337,0.360641852340847
"533","Pfkfb3",563.776578482164,-2.91581788888725,1.28415533532692,-2.27061151301058,0.0231705058955657,0.539462230264156
"534","Arl5b",647.862284442648,-2.2939861562966,0.806473070598944,-2.84446714952666,0.00444857727978016,0.315592003438636
"535","Mllt10",632.203550245037,-1.0976768206088,0.49940526572303,-2.19796805510171,0.0279513824725557,0.579528857822272
"536","Uap1l1",141.925516894017,2.37535716265216,1.08420035194862,2.19088396197526,0.028460190615936,0.580882695320479
"537","Snora17",6.79040314283228,-5.80097016164234,2.72124829335621,-2.13173129986158,0.0330289421716558,0.617544783742308
"538","Slc2a6",48.9713538446311,3.90923693244977,1.15461366235304,3.38575322630685,0.000709831847273961,0.143173916780467
"539","Olfm1",68.9304529272783,4.71555745199363,1.28927732697831,3.65751987824492,0.000254667514555392,0.0832762772596133
"540","Qrfp",30.2386549092285,2.43941673039628,1.20710527173362,2.02088151507517,0.043292031858593,0.661649673347922
"541","St6galnac4",35.4456152117175,4.57141521395055,1.96376513213217,2.32788287109829,0.0199183240290596,0.517627376272491
"542","Strbp",353.459269534976,-1.2742550802905,0.459578002293225,-2.77266334318041,0.00555996078060956,0.338050615452408
"543","Lhx2",17.6966371890552,5.66869780368555,2.22215678106064,2.55098913451996,0.0107417674599753,0.425092726867963
"544","Nek6",75.451481558518,3.14098539390152,1.21503193755685,2.58510521148713,0.00973492863950153,0.406565538751356
"545","Arhgap15",12.8469696493016,9.75071412478409,4.65604397174574,2.0942057643687,0.0362416545054459,0.63834749326131
"546","Lypd6",12.6764184604176,5.89443342919134,2.12682217808971,2.77147449839256,0.00558030431901293,0.338050615452408
"547","Rif1",362.592893803283,-1.80924211860709,0.902327912685129,-2.00508273452739,0.0449542029393928,0.667208921689549
"548","Fmnl2",148.568100233186,2.65898004140173,1.02651951634332,2.5902868859947,0.0095895977489278,0.401587269218723
"549","Gpd2",348.764978184946,-3.3143239373417,0.638856072783934,-5.18790394039602,2.12674250526316e-07,0.000711333034017268
"550","Fastkd1",83.7435479952577,-3.18489658128318,1.09609212071618,-2.90568330990482,0.00366452131086431,0.310539745644718
"551","Ttc30a1",83.5963157224139,-2.19070437223642,0.830983886742763,-2.63627779934867,0.0083821077578079,0.390071754461216
"552","Fkbp7",19.9844632170535,10.2838812121161,3.41351294770036,3.01269729152315,0.00258937062384968,0.275633300703816
