"","X1","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"145",703,"Cdkn3",37.52262531,5.032035381,1.406914498,3.576646192,0.000348031,0.005036614
"146",705,"Wdhd1",83.96035377,3.183107867,0.983932668,3.235087086,0.001216056,0.012434844
"147",707,"Dlgap5",107.0027318,2.175523309,0.619580881,3.511282185,0.000445951,0.00608147
"148",708,"Ccnb1ip1",74.00442992,5.645891481,1.573062395,3.589108416,0.000331811,0.004884675
"149",709,"Rnase4",2666.223102,2.538484782,0.523502026,4.849044807,1.24e-06,7.09e-05
"150",722,"Xpo4",62.07783389,2.819431073,0.845341322,3.335257605,0.000852204,0.009614014
"151",725,"Nupl1",284.8206258,2.812852806,0.632808588,4.445029441,8.79e-06,0.000317048
"152",730,"Mtmr9",280.2031201,2.63043147,0.648293012,4.057473118,4.96e-05,0.00118202
"153",733,"Pbk",127.2093349,4.737798091,1.187211333,3.990694798,6.59e-05,0.001459883
"154",734,"Esco2",107.6789213,6.639667557,1.351095738,4.914283547,8.91e-07,5.46e-05
"155",738,"Tnfrsf10b",93.713802,3.275378662,0.845753831,3.872732872,0.000107622,0.002091073
"156",741,"Slc39a14",197.2545076,2.625183815,0.685941889,3.827122759,0.00012965,0.002421129
"157",742,"Piwil2",70.841192,4.224256582,1.147373443,3.681675401,0.000231706,0.003697917
"158",748,"Mzt1",926.2369668,2.058458184,0.505034927,4.07587292,4.58e-05,0.001121675
"159",749,"Bora",139.813437,2.997390231,0.844623245,3.548789649,0.000387006,0.005441809
"160",750,"Dis3",216.8051837,2.138429926,0.765726013,2.792682877,0.005227291,0.036335702
"161",757,"Rap2a",348.6445629,2.344207026,0.498876721,4.698970561,2.61e-06,0.000129216
"162",761,"Osmr",807.6742215,2.128717813,0.500398477,4.254045344,2.1e-05,0.000618125
"163",762,"Lifr",264.7989082,2.376798603,0.638085852,3.724888424,0.000195402,0.003243118
"164",767,"Fam105a",277.6673345,3.587308838,0.604219255,5.937097846,2.9e-09,5.72e-07
"165",775,"Kcnv1",21.88993158,7.546977672,2.422390473,3.115508319,0.001836282,0.016909415
"166",782,"Gsdmc",7263.954308,5.188577381,1.51578244,3.423035684,0.000619259,0.007583585
"167",783,"Gsdmc3",495.7453967,5.996137171,1.67302088,3.584018132,0.000338349,0.004966647
"168",784,"Gsdmc4",1219.399396,4.844974688,1.675316063,2.891976502,0.003828266,0.029126222
"169",785,"Fam49b",471.7988826,2.368246601,0.795591838,2.97671053,0.00291359,0.023882111
"170",789,"Ptp4a3",797.7882333,4.443295733,1.019456841,4.358493224,1.31e-05,0.000431918
"171",793,"Ly6a",3904.102712,3.667931658,0.963299354,3.80767582,0.000140279,0.002548402
"172",818,"3-Sep",55.16769511,3.205945426,1.150751936,2.785957013,0.005336995,0.036947871
"173",825,"Tspo",856.4785056,4.383644491,1.354919519,3.235354153,0.001214919,0.012431488
"174",832,"Gtse1",85.0574314,3.971450927,1.072445211,3.703173724,0.000212919,0.003466474
"175",840,"Cpne8",252.1542502,3.078121457,0.658683572,4.673141378,2.97e-06,0.00014158
"176",842,"Pus7l",95.37496504,2.002657781,0.590877233,3.389295897,0.000700724,0.008354864
"177",846,"Troap",37.19173726,7.093365763,2.078820966,3.412206187,0.000644394,0.007827014
"178",847,"Racgap1",270.0025044,3.993446172,0.972496382,4.106386661,4.02e-05,0.001017586
"179",861,"Gm5414",3168.082252,7.778520671,1.682239012,4.623909335,3.77e-06,0.000169227
"180",862,"Gm5478",3319.716294,6.686335605,1.768716061,3.78033295,0.000156619,0.00280024
"181",863,"Krt6b",77131.44744,6.576869115,1.399886298,4.698145218,2.63e-06,0.000129324
"182",864,"Krt6a",79923.79665,6.518783357,1.094647965,5.95514135,2.6e-09,5.25e-07
"183",865,"Krt5",45900.42066,3.100315731,1.034775475,2.996124093,0.002734351,0.022674852
"184",870,"Krt1",315756.6613,3.196885553,0.800987751,3.991179078,6.57e-05,0.001459883
"185",874,"Aaas",270.7579374,2.040494676,0.635689682,3.209891139,0.001327853,0.013282452
"186",877,"Cbx5",544.1529134,2.189627911,0.616770786,3.550148551,0.000385014,0.005423719
"187",886,"Cpped1",287.74108,3.126453176,0.603851514,5.177519807,2.25e-07,1.91e-05
"188",888,"Snai2",360.630922,2.211873359,0.648034588,3.41320263,0.000642042,0.007818971
"189",889,"Mcm4",438.3182211,2.827484749,0.595674064,4.746697764,2.07e-06,0.000109202
"190",902,"Snora81",11.81291445,5.38359778,1.971793917,2.730304488,0.006327585,0.041773479
"191",904,"Trp63",3593.431976,2.007216579,0.649498058,3.090411982,0.00199879,0.017985603
"192",919,"Fam162a",5499.542188,3.667586057,0.853283119,4.298205337,1.72e-05,0.000529933
"193",920,"Stfa2l1",86.33946046,4.382993299,1.494911294,2.931942061,0.003368496,0.026508148
"194",921,"Stfa1",22360.66911,8.421190345,2.073877163,4.060602283,4.89e-05,0.001177812
"195",922,"BC117090",39444.336,7.695190354,2.076138377,3.706492034,0.00021015,0.003432299
"196",923,"BC100530",141386.3569,7.792573276,1.684358086,4.626435044,3.72e-06,0.000167668
"197",924,"Stfa3",57820.69591,6.166539006,1.470413637,4.193744433,2.74e-05,0.000766145
"198",925,"Cd86",151.327281,2.906370716,0.798669024,3.639017701,0.00027368,0.004172805
"199",929,"Cd80",11.81239886,10.06468076,3.090866344,3.256265281,0.001128882,0.011826715
"200",933,"Cd200",507.5290837,2.306609103,0.42870092,5.380462217,7.43e-08,7.98e-06
"201",938,"C330027C09Rik",251.9308097,2.177330996,0.629963849,3.456279277,0.000547688,0.006997016
"202",940,"5330426P16Rik",33.32490707,3.139856317,1.094305502,2.869268509,0.004114224,0.030487707
"203",941,"Cblb",1052.25387,2.535762969,0.642231691,3.948361633,7.87e-05,0.0016612
"204",946,"Filip1l",1138.177446,2.905052037,0.87108035,3.334998931,0.000852997,0.009614014
"205",980,"Mis18a",202.5539713,2.616567173,0.812367443,3.220915852,0.001277817,0.012894789
"206",985,"Wrb",146.1004622,2.593997424,0.732693182,3.540359712,0.000399582,0.005572755
"207",990,"Dynlt1a",319.7947078,2.468001175,0.741116839,3.33011078,0.000868114,0.009724526
"208",991,"Dynlt1b",445.7076568,2.903665437,0.722733396,4.017616254,5.88e-05,0.001346559
"209",1000,"Zfp52",105.6658121,3.112132095,0.701886974,4.433950494,9.25e-06,0.00033069
"210",1001,"2210404O09Rik",81.0493396,2.117603431,0.701338466,3.019374431,0.002532973,0.021472288
"211",1010,"Hn1l",347.2750919,2.177679564,0.704290198,3.092020262,0.001987993,0.017930435
"212",1014,"Chtf18",41.30237293,2.768842997,1.032796713,2.680917709,0.007342057,0.046782783
"213",1015,"Wdr90",116.2993639,3.113871683,0.91246491,3.41259335,0.000643479,0.007827014
"214",1018,"Neurl1b",198.7963303,2.352439933,0.710131668,3.312681352,0.000924062,0.010170754
"215",1019,"Bak1",358.4093564,2.321848702,0.568165602,4.086570351,4.38e-05,0.001085242
"216",1024,"Dnah8",74.64880683,3.283023928,0.977901159,3.357214478,0.00078732,0.00908587
"217",1029,"Cyp4f17",86.51419454,3.862131255,1.018871761,3.790596033,0.000150286,0.002710973
"218",1030,"Cyp4f16",158.3358688,2.555110823,0.716285564,3.567167834,0.00036086,0.005178397
"219",1033,"Kifc1",216.373253,3.252541074,0.957615022,3.396501725,0.000682531,0.008195174
"220",1074,"Trem1",22.02437701,13.37063405,3.307062165,4.043054948,5.28e-05,0.001239842
"221",1078,"Sgol1",111.4571932,4.37451057,1.099648939,3.978097386,6.95e-05,0.001518731
"222",1079,"Uhrf1",330.0416583,3.185428276,0.995586404,3.199549796,0.001376424,0.013621546
"223",1084,"Rab31",1265.075164,2.405953699,0.626740163,3.838837591,0.000123618,0.00233115
"224",1090,"Ndc80",77.66913268,4.88618176,1.200263597,4.070923897,4.68e-05,0.001136943
"225",1092,"Xdh",1443.323533,3.739218736,0.716116433,5.221523432,1.77e-07,1.58e-05
"226",1095,"Pigf",266.1361637,2.306463868,0.519591801,4.438992035,9.04e-06,0.000324549
"227",1100,"Crem",151.5705127,2.135806035,0.689352918,3.098276628,0.001946496,0.0176182
"228",1105,"Mib1",159.5763488,2.796330086,0.987069533,2.832961601,0.004611893,0.033028973
"229",1109,"Dsg3",902.0277586,2.924217728,1.061818154,2.753972249,0.005887676,0.03965718
"230",1114,"Kif20a",73.63375685,3.406472186,1.142853469,2.980672743,0.00287616,0.023625707
"231",1115,"Cdc25c",32.48867162,5.034943108,1.489521701,3.380241527,0.000724222,0.008522635
"232",1120,"Pcdhb22",32.15108563,2.717748637,0.956087246,2.842573884,0.004475086,0.032381164
"233",1121,"Pcdhga6",24.20403948,4.718066992,1.609755388,2.930921696,0.00337958,0.026541011
"234",1124,"Dpysl3",451.2946846,2.018981775,0.760438362,2.655023571,0.007930287,0.049224789
"235",1126,"Spink12",115.8205682,5.680000676,1.144076011,4.964705686,6.88e-07,4.35e-05
"236",1134,"Smim3",265.7288439,3.322804193,1.065866994,3.117466073,0.001824129,0.016817663
"237",1141,"Spink7",567.9067914,10.86030066,2.089641902,5.197206587,2.02e-07,1.76e-05
"238",1145,"Pmaip1",590.2201421,3.719369256,0.657612666,5.655866205,1.55e-08,2.15e-06
"239",1150,"Ska1",59.0304095,3.877496096,1.284835128,3.0178939,0.00254538,0.021494476
"240",1170,"Rnaseh2c",90.0415385,2.305228774,0.823489631,2.799341589,0.005120694,0.035711912
"241",1172,"Cdca5",75.53799509,3.185302851,1.075356014,2.962091446,0.00305557,0.024716346
"242",1185,"Psat1",1602.513061,2.15398848,0.486246708,4.429826348,9.43e-06,0.000336296
"243",1187,"Gda",775.5646258,3.272789439,0.589759948,5.5493586,2.87e-08,3.61e-06
"244",1192,"Vldlr",369.6824615,2.20210541,0.827120592,2.662375271,0.007759132,0.04847565
"245",1198,"Il33",865.0984909,2.340601972,0.79640027,2.938976869,0.003292976,0.026127907
"246",1203,"Kif20b",73.85061546,3.713924789,1.154255131,3.217594351,0.001292705,0.01301086
"247",1204,"Fgfbp3",233.2955158,2.437089832,0.535239167,4.553272598,5.28e-06,0.00021475
"248",1205,"Kif11",174.2793762,4.01531247,0.852425289,4.710456768,2.47e-06,0.000124955
"249",1206,"Myof",827.8060579,2.562090589,0.685457502,3.737781817,0.000185651,0.003170299
"250",1207,"Cep55",147.3357777,6.345478926,1.093518162,5.80281073,6.52e-09,1.1e-06
"251",1208,"Hells",136.87302,4.043498102,1.210499637,3.340354659,0.000836715,0.009484535
"252",1230,"Gsto1",1848.849981,4.625131978,0.542586137,8.524235443,1.54e-17,5.91e-14
"253",1234,"Olah",477.5442549,3.975204437,0.668405713,5.947292726,2.73e-09,5.44e-07
"254",1235,"Suv39h2",92.11609484,2.134310655,0.658340661,3.241954786,0.001187129,0.01226141
"255",1242,"Arl5b",647.8622844,2.238589726,0.57561754,3.889022778,0.000100649,0.001983166
"256",1245,"Mastl",69.64281209,3.232141408,1.21939757,2.650605092,0.008034773,0.049672736
"257",1252,"Kcnt1",24.07228193,13.24573901,3.41804511,3.875238208,0.00010652,0.002077554
"258",1278,"Stom",2250.946483,4.241439256,0.743872712,5.701834723,1.19e-08,1.72e-06
"259",1289,"Fmnl2",148.5681002,3.306404456,0.759765994,4.351872134,1.35e-05,0.000438194
"260",1293,"Dpp4",478.1403544,2.361904048,0.631127812,3.742354566,0.000182304,0.003123557
"261",1297,"Spc25",102.1109265,5.564301169,1.303196589,4.269732759,1.96e-05,0.000586321
"262",1304,"Nfe2l2",1939.060076,2.022118145,0.421135773,4.801582472,1.57e-06,8.61e-05
"263",1309,"2700094K13Rik",253.7636529,3.531593047,1.033492749,3.417143517,0.000632819,0.007718886
"264",1313,"4833423E24Rik",2258.581819,2.612361506,0.619133757,4.219381478,2.45e-05,0.000697222
"265",1321,"Fjx1",58.32988579,2.923524269,1.07812904,2.711664522,0.006694631,0.043713085
"266",1325,"Platr14",15.88601149,4.656658843,1.486303624,3.13304682,0.001730018,0.016221627
"267",1326,"Prrg4",360.4120955,3.406688215,1.129476753,3.016164969,0.002559939,0.02158351
"268",1329,"Kif18a",59.52920451,3.286522567,1.15710227,2.840304313,0.004507052,0.032535874
"269",1333,"Thbs1",1990.323885,3.804699657,0.950040321,4.004777033,6.21e-05,0.001394804
"270",1335,"Bub1b",143.0991913,3.585524227,1.094386271,3.276287652,0.001051814,0.011249357
"271",1336,"Knstrn",216.2440912,3.521058905,1.027743654,3.426008899,0.00061252,0.00752504
"272",1337,"Rad51",131.8010017,3.868014469,0.956561578,4.043664891,5.26e-05,0.001238514
