"","X1","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"124",253,"Rtcb",1842.649152,-2.45261589,0.508008518,-4.827903079,1.38e-06,7.71e-05
"125",255,"Fbxo7",515.1102562,-2.345814582,0.465988305,-5.034063204,4.8e-07,3.27e-05
"126",260,"Gas2l3",110.7509721,-2.441210615,0.874362842,-2.791988059,0.005238529,0.036380909
"127",264,"Amdhd1",12.3382203,-4.362003202,1.391749634,-3.134186706,0.001723312,0.016189228
"128",266,"Dcn",967.6073286,-4.880834199,1.439916188,-3.389665482,0.00069978,0.008350087
"129",273,"Tspan8",966.4763084,-3.698983109,1.308558107,-2.826762594,0.004702117,0.033534497
"130",274,"Ptprb",65.7047214,-8.606173378,2.580624924,-3.334918337,0.000853245,0.009614014
"131",275,"Lyz2",2749.603437,-3.404747439,0.83154544,-4.094481523,4.23e-05,0.001057373
"132",276,"Lyz1",185.6170237,-6.314436545,1.244312014,-5.074640827,3.88e-07,2.76e-05
"133",280,"Msrb3",305.9163998,-2.222200209,0.660661793,-3.363597278,0.000769337,0.008930471
"134",281,"Wif1",15.49288891,-9.733333526,2.078193277,-4.683555487,2.82e-06,0.000136693
"135",282,"Slc16a7",9.236631381,-7.11968068,2.185022709,-3.258401229,0.001120419,0.01177014
"136",287,"Coq10a",532.2982981,-2.189389279,0.770604586,-2.841131912,0.004495371,0.032466806
"137",288,"A430046D13Rik",110.3990171,-2.429344664,0.736350179,-3.29917033,0.000969711,0.010577346
"138",290,"Pmel",34.37274541,-3.097137446,0.907690889,-3.412105909,0.000644631,0.007827014
"139",293,"Pik3ip1",120.8627492,-2.346790668,0.696700651,-3.36843473,0.000755963,0.008808487
"140",294,"Pla2g3",280.1295403,-4.414400566,0.907300149,-4.865424712,1.14e-06,6.67e-05
"141",296,"Osbp2",18.64763802,-6.651353875,1.188308029,-5.597331427,2.18e-08,2.91e-06
"142",297,"Slc35e4",1976.54383,-2.144918575,0.63590338,-3.37302591,0.00074347,0.008695878
"143",299,"Gal3st1",343.7527582,-2.500215247,0.605003435,-4.132563721,3.59e-05,0.000944086
"144",300,"Rasl10a",30.25721748,-2.815052019,1.007128183,-2.795127836,0.00518792,0.036111022
"145",302,"Aebp1",159.3848995,-6.335485786,1.69223043,-3.743867073,0.00018121,0.00310827
"146",304,"Tns3",170.3882708,-3.424612217,0.820971376,-4.171414886,3.03e-05,0.000828554
"147",305,"Upp1",63.48073223,-5.693450805,1.199054101,-4.748285169,2.05e-06,0.000108915
"148",307,"Grb10",60.19825599,-5.99879647,2.217691962,-2.704972816,0.006830998,0.044254973
"149",308,"Cobl",4862.048666,-3.268810785,0.852280918,-3.835367793,0.000125377,0.002355638
"150",313,"Wdpcp",20.29101204,-3.435442947,0.933955383,-3.678380154,0.00023472,0.003726664
"151",314,"Ehbp1",55.61950897,-2.719953177,0.964314678,-2.820607463,0.004793282,0.033993792
"152",318,"Stk10",959.0803189,-3.400429739,0.731835704,-4.6464387,3.38e-06,0.000155866
"153",319,"Ranbp17",4.738562485,-6.902344023,2.400113307,-2.875840904,0.004029528,0.030038531
"154",320,"Gabrp",18.81736569,-4.628968061,1.527419084,-3.030581528,0.002440833,0.020805967
"155",321,"Dock2",91.24610858,-3.957847669,0.735070528,-5.384310105,7.27e-08,7.87e-06
"156",323,"Slit3",42.46533337,-3.007629545,1.068613755,-2.814515095,0.004885088,0.034439873
"157",329,"Adam19",187.4130562,-4.441093722,0.823837984,-5.390736784,7.02e-08,7.69e-06
"158",330,"Gfpt2",22.47707787,-5.613231043,1.753844049,-3.200530313,0.001371749,0.013611052
"159",333,"D930048N14Rik",321.777296,-2.897094489,0.701656137,-4.128937718,3.64e-05,0.000951024
"160",334,"Cdkl3",34.73495066,-2.087180365,0.72085061,-2.895440937,0.003786263,0.028922004
"161",336,"Slc22a5",138.9800307,-2.74867376,0.51515247,-5.335650933,9.52e-08,9.89e-06
"162",337,"Pdlim4",78.26947223,-2.738441224,0.995136195,-2.751825568,0.005926408,0.039791596
"163",338,"Tnip1",1277.839317,-2.384267424,0.544122814,-4.381855275,1.18e-05,0.000397275
"164",339,"Ccdc69",54.67298859,-3.144962992,1.043188681,-3.014759504,0.002571831,0.021646479
"165",340,"Slc36a2",72.30476147,-3.033500037,0.904732724,-3.352923972,0.000799627,0.00917809
"166",341,"Sparc",1205.24127,-4.323365609,1.086693482,-3.978459135,6.94e-05,0.001518731
"167",345,"Gjc2",133.781072,-2.287545751,0.680343064,-3.36234155,0.000772845,0.008950385
"168",347,"Pld6",9.671746352,-6.608073535,1.915695992,-3.449437469,0.000561756,0.007129335
"169",349,"Slc47a2",7.528804515,-5.038803223,1.85414528,-2.71758814,0.006575964,0.043028378
"170",350,"Rnf112",5.198645755,-6.957652779,2.435551088,-2.856705742,0.004280625,0.031328058
"171",352,"Specc1",77.22764531,-3.882031453,0.903177257,-4.298194428,1.72e-05,0.000529933
"172",354,"Trim16",615.9254873,-3.131574061,0.774650289,-4.042564893,5.29e-05,0.00124054
"173",355,"Fbxw10",8.98894904,-6.320725263,1.655513383,-3.817985001,0.000134546,0.0024824
"174",357,"Arhgap44",47.21369052,-3.480951403,0.782934032,-4.446034097,8.75e-06,0.000316312
"175",358,"Gas7",2746.307538,-2.973435308,0.830197459,-3.581600107,0.000341496,0.004989026
"176",359,"Usp43",43.86100056,-2.952465178,0.831342218,-3.551443816,0.000383124,0.005411976
"177",362,"Vamp2",1956.049182,-2.178302041,0.555501227,-3.921327149,8.81e-05,0.001804579
"178",363,"Aloxe3",4054.233672,-2.700295344,0.829160062,-3.256663539,0.0011273,0.011818192
"179",364,"Kcnab3",42.30567043,-3.163804701,0.804922769,-3.930569272,8.47e-05,0.001764831
"180",365,"Chd3os",12326.70437,-2.212940732,0.727896228,-3.040187114,0.002364312,0.02037976
"181",368,"Nlgn2",114.7454429,-3.727023393,0.80862888,-4.6090654,4.04e-06,0.000178123
"182",370,"Slc16a13",319.0907641,-2.221888394,0.684844232,-3.244370457,0.001177105,0.012190656
"183",371,"Alox12",172.7973689,-2.279145488,0.768949754,-2.963971931,0.00303696,0.024578745
"184",372,"Alox12e",3978.030668,-3.031625721,1.113278343,-2.723151619,0.006466237,0.042451774
"185",376,"Atp2a3",109.4049146,-3.071504086,0.882732852,-3.479539794,0.000502276,0.006671728
"186",377,"Shpk",81.29615106,-2.689940045,0.677326542,-3.971407999,7.14e-05,0.00155099
"187",378,"Rap1gap2",27.07555311,-3.159663933,1.138926461,-2.77424754,0.005532956,0.037970287
"188",381,"Rtn4rl1",44.43674351,-2.242828105,0.711350169,-3.15291709,0.001616477,0.015411685
"189",382,"Slc43a2",690.2730383,-2.329386132,0.607759604,-3.832742612,0.000126723,0.00237512
"190",386,"Bhlha9",9.640426646,-9.049834751,1.727012408,-5.240167767,1.6e-07,1.45e-05
"191",389,"Proca1",32.09133591,-2.650721557,0.944937558,-2.805181712,0.005028822,0.035194884
"192",391,"Slc46a1",303.0182531,-2.583630423,0.759807774,-3.400373766,0.000672938,0.008092632
"193",392,"Sebox",135.5324906,-3.507012017,1.040508303,-3.370479608,0.000750375,0.008756649
"194",393,"Rab11fip4",68.26212111,-5.615048124,1.473263265,-3.811299893,0.000138238,0.002526253
"195",395,"Crlf3",289.2131332,-3.195700341,0.59778109,-5.345937496,9e-08,9.4e-06
"196",396,"Rhbdl3",381.0941729,-2.110108261,0.773716507,-2.727236968,0.006386715,0.04207348
"197",397,"Myo1d",471.9154152,-2.977949101,0.916561304,-3.249045193,0.001157931,0.012032616
"198",398,"C030013C21Rik",16.34872663,-7.834589004,1.534922,-5.104226147,3.32e-07,2.51e-05
"199",403,"Ccl6",306.3079417,-5.018268055,1.103168718,-4.548957902,5.39e-06,0.000217474
"200",404,"Wfdc21",4817.522677,-3.650183975,1.204415638,-3.030668035,0.002440134,0.020805967
"201",409,"Bcas3",367.5070122,-3.311550955,0.575422482,-5.754990566,8.66e-09,1.35e-06
"202",410,"Tbx4",5.494425572,-7.20722758,2.332366944,-3.090091634,0.002000948,0.017994478
"203",415,"Ypel2",1076.663585,-3.737914136,0.734253954,-5.090764735,3.57e-07,2.62e-05
"204",418,"Cuedc1",206.2597651,-2.8948682,0.902987436,-3.205878714,0.001346507,0.013420616
"205",425,"Hoxb5",33.72911557,-3.15403208,1.05594346,-2.986932728,0.002817917,0.023246683
"206",426,"Hoxb4",167.4271879,-5.507277932,1.08980165,-5.053468153,4.34e-07,3.03e-05
"207",428,"Skap1",34.08026034,-2.969857322,0.941895996,-3.153062901,0.00161567,0.015411685
"208",430,"Osbpl7",81.1881554,-2.053752793,0.605650438,-3.390987054,0.000696414,0.008335814
"209",433,"Srcin1",1262.460239,-2.092100907,0.701647843,-2.981696484,0.00286656,0.023572052
"210",436,"Ormdl3",1549.749498,-2.058584248,0.390499972,-5.271662983,1.35e-07,1.27e-05
"211",440,"Igfbp4",397.9281013,-2.523563849,0.87383048,-2.887932963,0.003877825,0.029286631
"212",441,"Krt25",3626.38282,-7.699498223,2.226525823,-3.458077218,0.000544045,0.006967862
"213",442,"Krt26",522.3627149,-7.135618881,2.094074943,-3.407527941,0.000655542,0.007908182
"214",443,"Krt27",4022.929715,-8.393000352,2.158028748,-3.889197658,0.000100576,0.001983166
"215",444,"Krt28",263.8980563,-5.672762806,1.826814557,-3.105275675,0.001901018,0.017277788
"216",445,"Krt23",8347.509025,-2.35857617,0.662276279,-3.561317602,0.000368998,0.005270573
"217",446,"Krt39",46.14811631,-8.362671913,1.486203082,-5.626870253,1.84e-08,2.47e-06
"218",447,"Krt40",38.15189554,-6.98544055,2.531956859,-2.758909783,0.005799454,0.039213292
"219",448,"Krtap3-3",795.7584741,-6.548228597,1.228802581,-5.32895088,9.88e-08,1.01e-05
"220",449,"Krtap3-2",1896.561531,-4.903104124,1.347143021,-3.639631462,0.000273029,0.004167273
"221",450,"Krtap3-1",591.8271418,-8.733071482,1.80351409,-4.842252982,1.28e-06,7.28e-05
"222",451,"Krtap1-5",772.1088403,-9.756999944,2.43055216,-4.014314157,5.96e-05,0.001357221
"223",452,"Krtap1-4",561.5329016,-9.350083228,2.49246766,-3.751335826,0.000175895,0.003047721
"224",453,"Krtap1-3",297.5851227,-9.554288811,2.229467678,-4.285457424,1.82e-05,0.000551722
"225",454,"Krtap9-3",381.3662321,-10.12356165,2.338716161,-4.328683326,1.5e-05,0.000477309
